RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - High Rise,SCLMultifamily - High RiseCopier,SCL,Multifamily - High Rise,Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier
SCLSingle Family,SCLSingle FamilyDryer,SCL,Single Family,Dryer,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseDryer,SCL,Multifamily - Low Rise,Dryer,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseDryer,SCL,Multifamily - Mid Rise,Dryer,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73
SCLMultifamily - High Rise,SCLMultifamily - High RiseDryer,SCL,Multifamily - High Rise,Dryer,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73,Federal Standard 2015 Dryer - CEF 3.73
SCLSingle Family,SCLSingle FamilyDVD Player,SCL,Single Family,DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseDVD Player,SCL,Multifamily - Low Rise,DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseDVD Player,SCL,Multifamily - Mid Rise,DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player
SCLMultifamily - High Rise,SCLMultifamily - High RiseDVD Player,SCL,Multifamily - High Rise,DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player,Standard DVD Player
SCLSingle Family,SCLSingle FamilyFreezer,SCL,Single Family,Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseFreezer,SCL,Multifamily - Low Rise,Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseFreezer,SCL,Multifamily - Mid Rise,Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer
SCLMultifamily - High Rise,SCLMultifamily - High RiseFreezer,SCL,Multifamily - High Rise,Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer,Federal Standard 2014 Freezer
SCLSingle Family,SCLSingle FamilyHeat Central,SCL,Single Family,Heat Central,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseHeat Central,SCL,Multifamily - Low Rise,Heat Central,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseHeat Central,SCL,Multifamily - Mid Rise,Heat Central,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1
SCLMultifamily - High Rise,SCLMultifamily - High RiseHeat Central,SCL,Multifamily - High Rise,Heat Central,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1,Standard Electric Furnace HSPF = 1
SCLSingle Family,SCLSingle FamilyHeat Pump,SCL,Single Family,Heat Pump,Federal Standard 2015 Heat Pump - SEER/EER 14/12 and HSPF 8.2 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System)
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseHeat Pump,SCL,Multifamily - Low Rise,Heat Pump,Federal Standard 2015 Heat Pump - SEER/EER 14/12 and HSPF 8.2 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System)
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseHeat Pump,SCL,Multifamily - Mid Rise,Heat Pump,Federal Standard 2015 Heat Pump - SEER/EER 14/12 and HSPF 8.2 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System)
